time,Im,Wm,Fault_type
112.6,7.61284750849508,99.1553322084461,"Re"
112.7,7.78764758942112,101.366418767345,"Re"
112.8,8.03459534720168,104.51447833813,"Re"
112.9,7.47155379181093,97.1300605267942,"Re"
113,7.47351230375557,97.0964389665531,"Re"
113.1,7.70949614875732,100.102697637373,"Re"
113.2,7.83213997365205,101.635814679081,"Re"
113.3,7.86557599319595,102.01137744231,"Re"
113.4,7.82240208780228,101.394654541569,"Re"
113.5,7.68696065189329,99.5844242973146,"Re"
113.6,7.91756456060903,102.51681306922,"Re"
113.7,7.82338106599881,101.244043632538,"Re"
113.8,7.73413085342271,100.037474532297,"Re"
113.9,7.73711672965484,100.025597643915,"Re"
114,7.78378755793753,100.579224877529,"Re"
114.1,7.82232031176829,101.028201134558,"Re"
114.2,7.98934336636643,103.136442155265,"Re"
114.3,7.66636971550326,98.9211336424469,"Re"
114.4,7.69698340384626,99.2709748625306,"Re"
114.5,7.70669689009898,99.351970859966,"Re"
114.6,7.6462168132399,98.52927026336,"Re"
114.7,7.65228841000044,98.5653646553163,"Re"
114.8,7.70163553276771,99.1594540838376,"Re"
114.9,8.00952621004443,103.081301030471,"Re"
115,8.0150519496551,103.110992575849,"Re"
115.1,7.60930735630424,97.8527196688728,"Re"
115.2,7.78440879549813,100.065891842932,"Re"
115.3,7.38777204239939,94.9314304461791,"Re"
115.4,7.99245652377854,102.663554078225,"Re"
115.5,7.7662603438675,99.7219432724234,"Re"
115.6,7.70324117223843,98.8776856189721,"Re"
115.7,7.86360885152211,100.901094714169,"Re"
115.8,7.72664789922285,99.1099775642822,"Re"
115.9,8.08733305974281,103.701945649839,"Re"
116,7.62638439487038,97.7594082354134,"Re"
116.1,7.65213780499621,98.0581889842729,"Re"
116.2,7.96586366033048,102.046478823749,"Re"
116.3,7.77676684329859,99.5935240805869,"Re"
116.4,8.01764598846114,102.647530366731,"Re"
116.5,7.76168365347653,99.3413042522219,"Re"
116.6,7.85409572362429,100.495133051527,"Re"
116.7,7.71021488982991,98.6263172755435,"Re"
116.8,8.01841475472961,102.540367131597,"Re"
116.9,7.38104110994156,94.3640263550585,"Re"
117,7.63281799823452,97.5570485932475,"Re"
117.1,7.82836754455106,100.030451954214,"Re"
117.2,7.9062563764488,101.000032806296,"Re"
117.3,7.74870655298012,98.9627392986719,"Re"
117.4,7.86158851318456,100.379932974417,"Re"
117.5,7.70183495578522,98.3166519860673,"Re"
117.6,7.84111588330358,100.071212550912,"Re"
117.7,7.68835233629454,98.0991121109453,"Re"
117.8,8.11814548618326,103.55979635624,"Re"
117.9,7.78747728022716,99.3197725633168,"Re"
118,7.81765442712264,99.6831893835866,"Re"
118.1,7.81886215053351,99.6775765223965,"Re"
118.2,8.07508249238498,102.9227130439,"Re"
118.3,7.77206560456017,99.0405189772021,"Re"
118.4,7.83386236780318,99.8082377620224,"Re"
118.5,7.50732489491715,95.6294008480585,"Re"
118.6,7.49639446208976,95.472031437678,"Re"
118.7,7.74814039379242,98.6598435908954,"Re"
118.8,8.13150373638958,103.522483247828,"Re"
118.9,7.70140286749214,98.029358886408,"Re"
119,7.87981055682305,100.282741629629,"Re"
119.1,7.84001746474849,99.7592370026479,"Re"
119.2,7.7458519561768,98.5445202874827,"Re"
119.3,7.8905266146961,100.368625346661,"Re"
119.4,7.5472521023591,95.986689496842,"Re"
119.5,7.99626312752429,101.681241946141,"Re"
119.6,7.81452322043792,99.3548953705595,"Re"
119.7,7.83881331778974,99.6486698756316,"Re"
119.8,7.50987772739242,95.4530484282012,"Re"
119.9,7.97895618814322,101.400499473713,"Re"
120,7.72793108230153,98.1964141222987,"Re"
120.1,7.85567686436681,99.8057688392243,"Re"
120.2,7.56524822851732,96.1028143341627,"Re"
120.3,7.78254059260235,98.8499438153736,"Re"
120.4,7.77097138415907,98.6901126095259,"Re"
120.5,7.7793817774603,98.7842920758041,"Re"
120.6,7.39756692392462,93.9241614567287,"Re"
120.7,7.68420152383155,97.551490233731,"Re"
120.8,7.88556172759161,100.095749299212,"Re"
120.9,7.73448382990058,98.1664866534419,"Re"
121,7.75053835922055,98.3589194048541,"Re"
121.1,7.5263333864085,95.502849408987,"Re"
121.2,7.95659537500155,100.951356673085,"Re"
121.3,7.73727112668383,98.158000137287,"Re"
121.4,7.71907231218283,97.9167441457965,"Re"
121.5,7.7675175902456,98.5210470060276,"Re"
121.6,7.95546700250871,100.894687639204,"Re"
121.7,7.91038630087862,100.312966362627,"Re"
121.8,7.85449307545683,99.5944626690251,"Re"
121.9,7.70269255854268,97.6603149455793,"Re"
122,7.5712357285046,95.9846321954728,"Re"
122.1,7.88655888093884,99.9729956190012,"Re"
122.2,7.6744022094583,97.274890653749,"Re"
122.3,7.60937254514574,96.4421503144317,"Re"
122.4,7.80708214338908,98.9394329939508,"Re"
122.5,7.51413871857,95.2189258628809,"Re"
122.6,8.01915343249072,101.610069705055,"Re"
122.7,7.8607708281796,99.5951654766363,"Re"
122.8,7.79371017338337,98.7376972545256,"Re"
122.9,7.82550724877464,99.1328451716832,"Re"
123,8.00239050201718,101.365889985783,"Re"
123.1,7.93958822673898,100.5628983229,"Re"
123.2,7.85119213955348,99.4360307483872,"Re"
123.3,7.77188499769082,98.4245785852865,"Re"
123.4,7.81165498367212,98.9213228489546,"Re"
123.5,7.85300815822406,99.4381875691684,"Re"
123.6,7.76863186062674,98.36318790451,"Re"
123.7,8.03810846791984,101.768510798608,"Re"
123.8,7.81042954424638,98.8795696100925,"Re"
123.9,7.70349600846678,97.5196597631706,"Re"
124,8.08165446625942,102.300516155179,"Re"
124.1,7.84943839366469,99.3550430500851,"Re"
124.2,7.75821734938947,98.1945982986359,"Re"
124.3,7.70415696852126,97.5047185389789,"Re"
124.4,7.762736397811,98.2405359069374,"Re"
124.5,7.60955396113204,96.2966030109886,"Re"
124.6,7.74348995723848,97.9861931519843,"Re"
124.7,7.60516466968215,96.2306978362443,"Re"
124.8,7.78635144516315,98.5181754587138,"Re"
124.9,8.00302833381178,101.254544644171,"Re"
125,7.67029427245971,97.0399282920236,"Re"
125.1,7.62652045242083,96.4814005272582,"Re"
125.2,7.86867668186469,99.5400876572654,"Re"
125.3,8.17482896133412,103.408105415764,"Re"
125.4,7.54386095023778,95.4222364365897,"Re"
