time,Im,Wm,Fault_type
68.3,9.22391663282204,118.558186726047,"Rm"
68.4,9.79899352220612,125.949848832099,"Rm"
68.5,9.44280614821935,121.371649652626,"Rm"
68.6,9.35554366791073,120.250035024431,"Rm"
68.7,9.28710397478483,119.370356175543,"Rm"
68.8,9.71553587237038,124.877139558274,"Rm"
68.9,9.60180470261305,123.415313705133,"Rm"
69,9.1589856662028,117.723607773091,"Rm"
69.1,9.87430001489624,126.917790448042,"Rm"
69.2,9.44293917220787,121.37336062134,"Rm"
69.3,9.40410406827013,120.874199758513,"Rm"
69.4,9.44057879334277,121.343022152061,"Rm"
69.5,9.62792593682788,123.751059884748,"Rm"
69.6,9.40439214392483,120.877902920035,"Rm"
69.7,9.62763623474894,123.74733652317,"Rm"
69.8,9.71467162633772,124.866032632486,"Rm"
69.9,9.64440428422586,123.962862325108,"Rm"
70,9.67084769628842,124.302748769987,"Rm"
70.1,9.64569504289615,123.979453144946,"Rm"
70.2,9.67285120669579,124.328500828583,"Rm"
70.3,9.2159494517762,118.455784717505,"Rm"
70.4,9.48701327123736,121.93986182274,"Rm"
70.5,9.5109692176388,122.247775995684,"Rm"
70.6,9.80826877572963,126.069070125486,"Rm"
70.7,9.23797922119669,118.738941385767,"Rm"
70.8,9.54261771907047,122.654565444572,"Rm"
70.9,9.46438278369276,121.648984865427,"Rm"
71,9.60460522955113,123.451312551716,"Rm"
71.1,9.67795417362955,124.394091992595,"Rm"
71.2,9.7098525054356,124.804092377343,"Rm"
71.3,9.41876081504612,121.062590296774,"Rm"
71.4,9.42623230966171,121.158624088172,"Rm"
71.5,9.36529853445558,120.375421284805,"Rm"
71.6,9.75238485267645,125.350775701846,"Rm"
71.7,9.54320647645495,122.662133762442,"Rm"
71.8,9.39694614270671,120.782199180722,"Rm"
71.9,9.92803942982433,127.608524986055,"Rm"
72,9.529294945158,122.483324270842,"Rm"
72.1,9.55719289817966,122.841906385048,"Rm"
72.2,9.42547686508156,121.148914718657,"Rm"
72.3,9.45392235085525,121.514534456696,"Rm"
72.4,9.69020942765404,124.551614064838,"Rm"
72.5,9.31232604016178,119.694548222801,"Rm"
72.6,9.80254776320034,125.995537689166,"Rm"
72.7,9.65577016203864,124.108954466001,"Rm"
72.8,9.41675033936411,121.03675005288,"Rm"
72.9,9.53372780723697,122.540301978254,"Rm"
73,9.40740265180501,120.916601107074,"Rm"
73.1,9.75274630405364,125.355422611326,"Rm"
73.2,9.67651678873919,124.375618332377,"Rm"
73.3,9.42781138659073,121.178921800516,"Rm"
73.4,9.52165819854107,122.385167398227,"Rm"
73.5,9.76460061965391,125.5077904493,"Rm"
73.6,9.4790931389851,121.838064060379,"Rm"
73.7,9.51177187008673,122.258095147184,"Rm"
73.8,9.50476576725189,122.168043330395,"Rm"
73.9,9.31309754588449,119.704465403505,"Rm"
74,9.49140763135298,121.99634667813,"Rm"
74.1,9.88660354297389,127.075936528652,"Rm"
74.2,9.25097687371569,118.906007035917,"Rm"
74.3,9.7480139399005,125.294596488627,"Rm"
74.4,9.78504402461416,125.770557023426,"Rm"
74.5,9.25711572463164,118.984911929286,"Rm"
74.6,9.71732796822727,124.900179196697,"Rm"
74.7,9.40536895856045,120.890462124591,"Rm"
74.8,9.71556179582679,124.877478047178,"Rm"
74.9,9.4313900188175,121.224919888613,"Rm"
75,9.68765886387992,124.518832077982,"Rm"
75.1,9.67333946151201,124.334779878054,"Rm"
75.2,9.6738438216989,124.341262627573,"Rm"
75.3,9.28502066103409,119.3435840084,"Rm"
75.4,9.33060810404319,119.929535221423,"Rm"
75.5,9.81449264658012,126.149070747248,"Rm"
75.6,9.53405018466279,122.544446753856,"Rm"
75.7,9.10335118495084,117.008523473527,"Rm"
